ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
699d7b52627e0a0011213074,694645e87a311e002ac18a2a,80593,65cc64881cfc439f4e6d7b5d,"4,130","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d7fd4d3b45300181f8c29,65cf31cac1616800205b4d2f,80594,65cc64881cfc439f4e6d7b5d,"3,500","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d82e30b555a00113b1f04,66ed86567fbcb0003dad9187,80595,65cc64881cfc439f4e6d7b5d,"3,009","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d85d90e6c78001276869c,67c85f1297655c0035c76031,80596,67ed22ef8812861b905e55ae,"9,817","Tuesday, February 24, 2026",YEARLY,Accounts Lite
699d86054b4c200011d1d3cb,693feb42bb35f100184512bc,80597,65cc64881cfc439f4e6d7b5d,"2,000","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d8734cd140e0020090392,616d327de66ef20012246dbd,2025-26/MY/00060,67ed22ef8812861b905e55ae,"5,811","Tuesday, February 24, 2026",YEARLY,Accounts Lite
699d8e3736f3c500118556de,681057b6014bdc00184426ae,80598,674acc3f26156d43b1904958,"38,340","Tuesday, February 24, 2026",YEARLY,Inventory
699d91a7cd140e00200edb72,64133b5bfdefee0011324621,80599,67ed22ef8812861b905e55ae,"21,817","Tuesday, February 24, 2026",3YEARLY,Accounts Lite
699d92f90e6c7800127e998a,6076d73abe114300135ee5bc,80600,67ed22ef8812861b905e55ae,"1,622","Tuesday, February 24, 2026",QUATERLY,Accounts Lite
699d95e051fc7200184cab7d,68d6436856e553002bb75332,80601,65cc64881cfc439f4e6d7b5d,"3,000","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d9f8836f3c50011864bff,64fea3d9dd82bd0012e05dcc,80602,65cc64881cfc439f4e6d7a2f,"3,706","Tuesday, February 24, 2026",YEARLY,Books Starter (Invoices)
699d9f9f1cf8ff00112f52f4,5fca218856babd268a2d32f0,80603,67ed22ef8812861b905e55ae,"4,720","Tuesday, February 24, 2026",YEARLY,Accounts Lite
699da2cbc73382002adb1f4d,62a6d5b5a769e7001a6ce0f4,80604,68da88e49da3e16b92877a41,"35,400","Tuesday, February 24, 2026",3YEARLY,Workflows
